,Hr0,Hr1,Hr2,Hr3,Hr4,Hr5,Hr6,Hr7,Hr8,Hr9,Hr10,Hr11
1240,17.5,19.71,23.79,20.2,19.73,18.53,18.07,16.99,18.38,18.17,19.16,18.86
1241,19.71,23.79,20.2,19.73,18.53,18.07,16.99,18.38,18.17,19.16,18.86,19.1
1242,23.79,20.2,19.73,18.53,18.07,16.99,18.38,18.17,19.16,18.86,19.1,21.18
1243,20.2,19.73,18.53,18.07,16.99,18.38,18.17,19.16,18.86,19.1,21.18,40.79
1244,19.73,18.53,18.07,16.99,18.38,18.17,19.16,18.86,19.1,21.18,40.79,33.36
1245,18.53,18.07,16.99,18.38,18.17,19.16,18.86,19.1,21.18,40.79,33.36,30.54
1246,18.07,16.99,18.38,18.17,19.16,18.86,19.1,21.18,40.79,33.36,30.54,31.01
1247,16.99,18.38,18.17,19.16,18.86,19.1,21.18,40.79,33.36,30.54,31.01,29.02
1248,18.38,18.17,19.16,18.86,19.1,21.18,40.79,33.36,30.54,31.01,29.02,25.8
1249,18.17,19.16,18.86,19.1,21.18,40.79,33.36,30.54,31.01,29.02,25.8,22.44
1250,19.16,18.86,19.1,21.18,40.79,33.36,30.54,31.01,29.02,25.8,22.44,22.27
1251,18.86,19.1,21.18,40.79,33.36,30.54,31.01,29.02,25.8,22.44,22.27,21.0
1252,19.1,21.18,40.79,33.36,30.54,31.01,29.02,25.8,22.44,22.27,21.0,19.95
1253,21.18,40.79,33.36,30.54,31.01,29.02,25.8,22.44,22.27,21.0,19.95,19.63
1254,40.79,33.36,30.54,31.01,29.02,25.8,22.44,22.27,21.0,19.95,19.63,20.53
1255,33.36,30.54,31.01,29.02,25.8,22.44,22.27,21.0,19.95,19.63,20.53,22.65
1256,30.54,31.01,29.02,25.8,22.44,22.27,21.0,19.95,19.63,20.53,22.65,19.75
1257,31.01,29.02,25.8,22.44,22.27,21.0,19.95,19.63,20.53,22.65,19.75,18.71
1258,29.02,25.8,22.44,22.27,21.0,19.95,19.63,20.53,22.65,19.75,18.71,17.56
1259,25.8,22.44,22.27,21.0,19.95,19.63,20.53,22.65,19.75,18.71,17.56,15.84
1260,22.44,22.27,21.0,19.95,19.63,20.53,22.65,19.75,18.71,17.56,15.84,14.62
1261,22.27,21.0,19.95,19.63,20.53,22.65,19.75,18.71,17.56,15.84,14.62,13.06
1262,21.0,19.95,19.63,20.53,22.65,19.75,18.71,17.56,15.84,14.62,13.06,7.06
1263,19.95,19.63,20.53,22.65,19.75,18.71,17.56,15.84,14.62,13.06,7.06,7.09
1264,19.63,20.53,22.65,19.75,18.71,17.56,15.84,14.62,13.06,7.06,7.09,8.04
1265,20.53,22.65,19.75,18.71,17.56,15.84,14.62,13.06,7.06,7.09,8.04,10.51
1266,22.65,19.75,18.71,17.56,15.84,14.62,13.06,7.06,7.09,8.04,10.51,14.23
1267,19.75,18.71,17.56,15.84,14.62,13.06,7.06,7.09,8.04,10.51,14.23,16.76
1268,18.71,17.56,15.84,14.62,13.06,7.06,7.09,8.04,10.51,14.23,16.76,18.11
1269,17.56,15.84,14.62,13.06,7.06,7.09,8.04,10.51,14.23,16.76,18.11,17.32
1270,15.84,14.62,13.06,7.06,7.09,8.04,10.51,14.23,16.76,18.11,17.32,16.85
1271,14.62,13.06,7.06,7.09,8.04,10.51,14.23,16.76,18.11,17.32,16.85,16.54
1272,13.06,7.06,7.09,8.04,10.51,14.23,16.76,18.11,17.32,16.85,16.54,15.57
1273,7.06,7.09,8.04,10.51,14.23,16.76,18.11,17.32,16.85,16.54,15.57,15.07
1274,7.09,8.04,10.51,14.23,16.76,18.11,17.32,16.85,16.54,15.57,15.07,14.22
1275,8.04,10.51,14.23,16.76,18.11,17.32,16.85,16.54,15.57,15.07,14.22,13.92
1276,10.51,14.23,16.76,18.11,17.32,16.85,16.54,15.57,15.07,14.22,13.92,14.74
1277,14.23,16.76,18.11,17.32,16.85,16.54,15.57,15.07,14.22,13.92,14.74,14.12
1278,16.76,18.11,17.32,16.85,16.54,15.57,15.07,14.22,13.92,14.74,14.12,16.46
1279,18.11,17.32,16.85,16.54,15.57,15.07,14.22,13.92,14.74,14.12,16.46,22.51
1280,17.32,16.85,16.54,15.57,15.07,14.22,13.92,14.74,14.12,16.46,22.51,24.64
1281,16.85,16.54,15.57,15.07,14.22,13.92,14.74,14.12,16.46,22.51,24.64,28.25
1282,16.54,15.57,15.07,14.22,13.92,14.74,14.12,16.46,22.51,24.64,28.25,30.99
1283,15.57,15.07,14.22,13.92,14.74,14.12,16.46,22.51,24.64,28.25,30.99,23.39
1284,15.07,14.22,13.92,14.74,14.12,16.46,22.51,24.64,28.25,30.99,23.39,20.77
1285,14.22,13.92,14.74,14.12,16.46,22.51,24.64,28.25,30.99,23.39,20.77,21.78
1286,13.92,14.74,14.12,16.46,22.51,24.64,28.25,30.99,23.39,20.77,21.78,20.91
1287,14.74,14.12,16.46,22.51,24.64,28.25,30.99,23.39,20.77,21.78,20.91,21.09
1288,14.12,16.46,22.51,24.64,28.25,30.99,23.39,20.77,21.78,20.91,21.09,20.94
1289,16.46,22.51,24.64,28.25,30.99,23.39,20.77,21.78,20.91,21.09,20.94,20.94
1290,22.51,24.64,28.25,30.99,23.39,20.77,21.78,20.91,21.09,20.94,20.94,22.14
1291,24.64,28.25,30.99,23.39,20.77,21.78,20.91,21.09,20.94,20.94,22.14,25.0
1292,28.25,30.99,23.39,20.77,21.78,20.91,21.09,20.94,20.94,22.14,25.0,28.63
1293,30.99,23.39,20.77,21.78,20.91,21.09,20.94,20.94,22.14,25.0,28.63,39.15
1294,23.39,20.77,21.78,20.91,21.09,20.94,20.94,22.14,25.0,28.63,39.15,36.3
1295,20.77,21.78,20.91,21.09,20.94,20.94,22.14,25.0,28.63,39.15,36.3,27.22
1296,21.78,20.91,21.09,20.94,20.94,22.14,25.0,28.63,39.15,36.3,27.22,22.97
1297,20.91,21.09,20.94,20.94,22.14,25.0,28.63,39.15,36.3,27.22,22.97,22.11
1298,21.09,20.94,20.94,22.14,25.0,28.63,39.15,36.3,27.22,22.97,22.11,20.84
1299,20.94,20.94,22.14,25.0,28.63,39.15,36.3,27.22,22.97,22.11,20.84,19.9
1300,20.94,22.14,25.0,28.63,39.15,36.3,27.22,22.97,22.11,20.84,19.9,18.82
1301,22.14,25.0,28.63,39.15,36.3,27.22,22.97,22.11,20.84,19.9,18.82,18.8
1302,25.0,28.63,39.15,36.3,27.22,22.97,22.11,20.84,19.9,18.82,18.8,20.44
1303,28.63,39.15,36.3,27.22,22.97,22.11,20.84,19.9,18.82,18.8,20.44,24.01
1304,39.15,36.3,27.22,22.97,22.11,20.84,19.9,18.82,18.8,20.44,24.01,19.0
1305,36.3,27.22,22.97,22.11,20.84,19.9,18.82,18.8,20.44,24.01,19.0,18.65
1306,27.22,22.97,22.11,20.84,19.9,18.82,18.8,20.44,24.01,19.0,18.65,17.0
1307,22.97,22.11,20.84,19.9,18.82,18.8,20.44,24.01,19.0,18.65,17.0,17.15
1308,22.11,20.84,19.9,18.82,18.8,20.44,24.01,19.0,18.65,17.0,17.15,15.93
1309,20.84,19.9,18.82,18.8,20.44,24.01,19.0,18.65,17.0,17.15,15.93,12.08
1310,19.9,18.82,18.8,20.44,24.01,19.0,18.65,17.0,17.15,15.93,12.08,13.95
1311,18.82,18.8,20.44,24.01,19.0,18.65,17.0,17.15,15.93,12.08,13.95,12.54
1312,18.8,20.44,24.01,19.0,18.65,17.0,17.15,15.93,12.08,13.95,12.54,13.67
1313,20.44,24.01,19.0,18.65,17.0,17.15,15.93,12.08,13.95,12.54,13.67,15.7
1314,24.01,19.0,18.65,17.0,17.15,15.93,12.08,13.95,12.54,13.67,15.7,16.47
1315,19.0,18.65,17.0,17.15,15.93,12.08,13.95,12.54,13.67,15.7,16.47,30.21
1316,18.65,17.0,17.15,15.93,12.08,13.95,12.54,13.67,15.7,16.47,30.21,28.8
1317,17.0,17.15,15.93,12.08,13.95,12.54,13.67,15.7,16.47,30.21,28.8,24.24
1318,17.15,15.93,12.08,13.95,12.54,13.67,15.7,16.47,30.21,28.8,24.24,19.66
1319,15.93,12.08,13.95,12.54,13.67,15.7,16.47,30.21,28.8,24.24,19.66,17.48
1320,12.08,13.95,12.54,13.67,15.7,16.47,30.21,28.8,24.24,19.66,17.48,15.37
1321,13.95,12.54,13.67,15.7,16.47,30.21,28.8,24.24,19.66,17.48,15.37,15.66
1322,12.54,13.67,15.7,16.47,30.21,28.8,24.24,19.66,17.48,15.37,15.66,15.83
1323,13.67,15.7,16.47,30.21,28.8,24.24,19.66,17.48,15.37,15.66,15.83,15.72
1324,15.7,16.47,30.21,28.8,24.24,19.66,17.48,15.37,15.66,15.83,15.72,15.57
1325,16.47,30.21,28.8,24.24,19.66,17.48,15.37,15.66,15.83,15.72,15.57,15.96
1326,30.21,28.8,24.24,19.66,17.48,15.37,15.66,15.83,15.72,15.57,15.96,19.0
1327,28.8,24.24,19.66,17.48,15.37,15.66,15.83,15.72,15.57,15.96,19.0,25.47
1328,24.24,19.66,17.48,15.37,15.66,15.83,15.72,15.57,15.96,19.0,25.47,19.29
1329,19.66,17.48,15.37,15.66,15.83,15.72,15.57,15.96,19.0,25.47,19.29,17.55
1330,17.48,15.37,15.66,15.83,15.72,15.57,15.96,19.0,25.47,19.29,17.55,16.26
1331,15.37,15.66,15.83,15.72,15.57,15.96,19.0,25.47,19.29,17.55,16.26,15.28
1332,15.66,15.83,15.72,15.57,15.96,19.0,25.47,19.29,17.55,16.26,15.28,15.76
1333,15.83,15.72,15.57,15.96,19.0,25.47,19.29,17.55,16.26,15.28,15.76,16.18
1334,15.72,15.57,15.96,19.0,25.47,19.29,17.55,16.26,15.28,15.76,16.18,12.0
1335,15.57,15.96,19.0,25.47,19.29,17.55,16.26,15.28,15.76,16.18,12.0,12.05
1336,15.96,19.0,25.47,19.29,17.55,16.26,15.28,15.76,16.18,12.0,12.05,14.17
1337,19.0,25.47,19.29,17.55,16.26,15.28,15.76,16.18,12.0,12.05,14.17,17.11
1338,25.47,19.29,17.55,16.26,15.28,15.76,16.18,12.0,12.05,14.17,17.11,17.34
1339,19.29,17.55,16.26,15.28,15.76,16.18,12.0,12.05,14.17,17.11,17.34,22.06
1340,17.55,16.26,15.28,15.76,16.18,12.0,12.05,14.17,17.11,17.34,22.06,21.11
1341,16.26,15.28,15.76,16.18,12.0,12.05,14.17,17.11,17.34,22.06,21.11,21.77
1342,15.28,15.76,16.18,12.0,12.05,14.17,17.11,17.34,22.06,21.11,21.77,22.19
1343,15.76,16.18,12.0,12.05,14.17,17.11,17.34,22.06,21.11,21.77,22.19,22.49
1344,16.18,12.0,12.05,14.17,17.11,17.34,22.06,21.11,21.77,22.19,22.49,22.43
1345,12.0,12.05,14.17,17.11,17.34,22.06,21.11,21.77,22.19,22.49,22.43,23.46
1346,12.05,14.17,17.11,17.34,22.06,21.11,21.77,22.19,22.49,22.43,23.46,22.93
1347,14.17,17.11,17.34,22.06,21.11,21.77,22.19,22.49,22.43,23.46,22.93,22.65
1348,17.11,17.34,22.06,21.11,21.77,22.19,22.49,22.43,23.46,22.93,22.65,22.01
1349,17.34,22.06,21.11,21.77,22.19,22.49,22.43,23.46,22.93,22.65,22.01,21.87
1350,22.06,21.11,21.77,22.19,22.49,22.43,23.46,22.93,22.65,22.01,21.87,24.46
1351,21.11,21.77,22.19,22.49,22.43,23.46,22.93,22.65,22.01,21.87,24.46,40.85
1352,21.77,22.19,22.49,22.43,23.46,22.93,22.65,22.01,21.87,24.46,40.85,21.73
1353,22.19,22.49,22.43,23.46,22.93,22.65,22.01,21.87,24.46,40.85,21.73,20.43
1354,22.49,22.43,23.46,22.93,22.65,22.01,21.87,24.46,40.85,21.73,20.43,19.45
1355,22.43,23.46,22.93,22.65,22.01,21.87,24.46,40.85,21.73,20.43,19.45,19.35
1356,23.46,22.93,22.65,22.01,21.87,24.46,40.85,21.73,20.43,19.45,19.35,17.67
1357,22.93,22.65,22.01,21.87,24.46,40.85,21.73,20.43,19.45,19.35,17.67,15.94
1358,22.65,22.01,21.87,24.46,40.85,21.73,20.43,19.45,19.35,17.67,15.94,14.21
1359,22.01,21.87,24.46,40.85,21.73,20.43,19.45,19.35,17.67,15.94,14.21,15.59
1360,21.87,24.46,40.85,21.73,20.43,19.45,19.35,17.67,15.94,14.21,15.59,15.61
1361,24.46,40.85,21.73,20.43,19.45,19.35,17.67,15.94,14.21,15.59,15.61,18.48
1362,40.85,21.73,20.43,19.45,19.35,17.67,15.94,14.21,15.59,15.61,18.48,18.91
1363,21.73,20.43,19.45,19.35,17.67,15.94,14.21,15.59,15.61,18.48,18.91,23.71
1364,20.43,19.45,19.35,17.67,15.94,14.21,15.59,15.61,18.48,18.91,23.71,21.67
1365,19.45,19.35,17.67,15.94,14.21,15.59,15.61,18.48,18.91,23.71,21.67,21.78
1366,19.35,17.67,15.94,14.21,15.59,15.61,18.48,18.91,23.71,21.67,21.78,22.79
1367,17.67,15.94,14.21,15.59,15.61,18.48,18.91,23.71,21.67,21.78,22.79,23.06
1368,15.94,14.21,15.59,15.61,18.48,18.91,23.71,21.67,21.78,22.79,23.06,23.74
1369,14.21,15.59,15.61,18.48,18.91,23.71,21.67,21.78,22.79,23.06,23.74,23.79
1370,15.59,15.61,18.48,18.91,23.71,21.67,21.78,22.79,23.06,23.74,23.79,23.25
1371,15.61,18.48,18.91,23.71,21.67,21.78,22.79,23.06,23.74,23.79,23.25,22.43
1372,18.48,18.91,23.71,21.67,21.78,22.79,23.06,23.74,23.79,23.25,22.43,22.83
1373,18.91,23.71,21.67,21.78,22.79,23.06,23.74,23.79,23.25,22.43,22.83,22.15
1374,23.71,21.67,21.78,22.79,23.06,23.74,23.79,23.25,22.43,22.83,22.15,22.27
1375,21.67,21.78,22.79,23.06,23.74,23.79,23.25,22.43,22.83,22.15,22.27,36.83
1376,21.78,22.79,23.06,23.74,23.79,23.25,22.43,22.83,22.15,22.27,36.83,25.39
1377,22.79,23.06,23.74,23.79,23.25,22.43,22.83,22.15,22.27,36.83,25.39,22.42
1378,23.06,23.74,23.79,23.25,22.43,22.83,22.15,22.27,36.83,25.39,22.42,22.68
1379,23.74,23.79,23.25,22.43,22.83,22.15,22.27,36.83,25.39,22.42,22.68,21.03
1380,23.79,23.25,22.43,22.83,22.15,22.27,36.83,25.39,22.42,22.68,21.03,19.89
1381,23.25,22.43,22.83,22.15,22.27,36.83,25.39,22.42,22.68,21.03,19.89,19.61
1382,22.43,22.83,22.15,22.27,36.83,25.39,22.42,22.68,21.03,19.89,19.61,19.3
1383,22.83,22.15,22.27,36.83,25.39,22.42,22.68,21.03,19.89,19.61,19.3,20.08
1384,22.15,22.27,36.83,25.39,22.42,22.68,21.03,19.89,19.61,19.3,20.08,19.92
1385,22.27,36.83,25.39,22.42,22.68,21.03,19.89,19.61,19.3,20.08,19.92,19.86
1386,36.83,25.39,22.42,22.68,21.03,19.89,19.61,19.3,20.08,19.92,19.86,22.7
1387,25.39,22.42,22.68,21.03,19.89,19.61,19.3,20.08,19.92,19.86,22.7,41.75
1388,22.42,22.68,21.03,19.89,19.61,19.3,20.08,19.92,19.86,22.7,41.75,31.81
1389,22.68,21.03,19.89,19.61,19.3,20.08,19.92,19.86,22.7,41.75,31.81,32.36
1390,21.03,19.89,19.61,19.3,20.08,19.92,19.86,22.7,41.75,31.81,32.36,34.5
1391,19.89,19.61,19.3,20.08,19.92,19.86,22.7,41.75,31.81,32.36,34.5,34.5
1392,19.61,19.3,20.08,19.92,19.86,22.7,41.75,31.81,32.36,34.5,34.5,32.5
1393,19.3,20.08,19.92,19.86,22.7,41.75,31.81,32.36,34.5,34.5,32.5,28.12
1394,20.08,19.92,19.86,22.7,41.75,31.81,32.36,34.5,34.5,32.5,28.12,25.75
1395,19.92,19.86,22.7,41.75,31.81,32.36,34.5,34.5,32.5,28.12,25.75,24.13
1396,19.86,22.7,41.75,31.81,32.36,34.5,34.5,32.5,28.12,25.75,24.13,23.34
1397,22.7,41.75,31.81,32.36,34.5,34.5,32.5,28.12,25.75,24.13,23.34,24.67
1398,41.75,31.81,32.36,34.5,34.5,32.5,28.12,25.75,24.13,23.34,24.67,27.56
1399,31.81,32.36,34.5,34.5,32.5,28.12,25.75,24.13,23.34,24.67,27.56,41.28
1400,32.36,34.5,34.5,32.5,28.12,25.75,24.13,23.34,24.67,27.56,41.28,26.81
1401,34.5,34.5,32.5,28.12,25.75,24.13,23.34,24.67,27.56,41.28,26.81,24.61
1402,34.5,32.5,28.12,25.75,24.13,23.34,24.67,27.56,41.28,26.81,24.61,23.35
1403,32.5,28.12,25.75,24.13,23.34,24.67,27.56,41.28,26.81,24.61,23.35,20.94
1404,28.12,25.75,24.13,23.34,24.67,27.56,41.28,26.81,24.61,23.35,20.94,19.51
1405,25.75,24.13,23.34,24.67,27.56,41.28,26.81,24.61,23.35,20.94,19.51,19.52
1406,24.13,23.34,24.67,27.56,41.28,26.81,24.61,23.35,20.94,19.51,19.52,19.48
1407,23.34,24.67,27.56,41.28,26.81,24.61,23.35,20.94,19.51,19.52,19.48,19.35
1408,24.67,27.56,41.28,26.81,24.61,23.35,20.94,19.51,19.52,19.48,19.35,18.64
1409,27.56,41.28,26.81,24.61,23.35,20.94,19.51,19.52,19.48,19.35,18.64,19.38
1410,41.28,26.81,24.61,23.35,20.94,19.51,19.52,19.48,19.35,18.64,19.38,22.16
1411,26.81,24.61,23.35,20.94,19.51,19.52,19.48,19.35,18.64,19.38,22.16,41.0
1412,24.61,23.35,20.94,19.51,19.52,19.48,19.35,18.64,19.38,22.16,41.0,30.16
1413,23.35,20.94,19.51,19.52,19.48,19.35,18.64,19.38,22.16,41.0,30.16,27.85
1414,20.94,19.51,19.52,19.48,19.35,18.64,19.38,22.16,41.0,30.16,27.85,37.25
1415,19.51,19.52,19.48,19.35,18.64,19.38,22.16,41.0,30.16,27.85,37.25,28.57
1416,19.52,19.48,19.35,18.64,19.38,22.16,41.0,30.16,27.85,37.25,28.57,25.74
1417,19.48,19.35,18.64,19.38,22.16,41.0,30.16,27.85,37.25,28.57,25.74,25.56
1418,19.35,18.64,19.38,22.16,41.0,30.16,27.85,37.25,28.57,25.74,25.56,25.3
1419,18.64,19.38,22.16,41.0,30.16,27.85,37.25,28.57,25.74,25.56,25.3,22.89
1420,19.38,22.16,41.0,30.16,27.85,37.25,28.57,25.74,25.56,25.3,22.89,23.21
1421,22.16,41.0,30.16,27.85,37.25,28.57,25.74,25.56,25.3,22.89,23.21,23.1
1422,41.0,30.16,27.85,37.25,28.57,25.74,25.56,25.3,22.89,23.21,23.1,24.98
1423,30.16,27.85,37.25,28.57,25.74,25.56,25.3,22.89,23.21,23.1,24.98,42.45
1424,27.85,37.25,28.57,25.74,25.56,25.3,22.89,23.21,23.1,24.98,42.45,26.2
1425,37.25,28.57,25.74,25.56,25.3,22.89,23.21,23.1,24.98,42.45,26.2,25.92
1426,28.57,25.74,25.56,25.3,22.89,23.21,23.1,24.98,42.45,26.2,25.92,25.85
1427,25.74,25.56,25.3,22.89,23.21,23.1,24.98,42.45,26.2,25.92,25.85,20.57
1428,25.56,25.3,22.89,23.21,23.1,24.98,42.45,26.2,25.92,25.85,20.57,20.81
1429,25.3,22.89,23.21,23.1,24.98,42.45,26.2,25.92,25.85,20.57,20.81,20.59
1430,22.89,23.21,23.1,24.98,42.45,26.2,25.92,25.85,20.57,20.81,20.59,19.4
1431,23.21,23.1,24.98,42.45,26.2,25.92,25.85,20.57,20.81,20.59,19.4,18.57
1432,23.1,24.98,42.45,26.2,25.92,25.85,20.57,20.81,20.59,19.4,18.57,18.91
1433,24.98,42.45,26.2,25.92,25.85,20.57,20.81,20.59,19.4,18.57,18.91,19.69
1434,42.45,26.2,25.92,25.85,20.57,20.81,20.59,19.4,18.57,18.91,19.69,20.38
1435,26.2,25.92,25.85,20.57,20.81,20.59,19.4,18.57,18.91,19.69,20.38,22.1
1436,25.92,25.85,20.57,20.81,20.59,19.4,18.57,18.91,19.69,20.38,22.1,24.47
1437,25.85,20.57,20.81,20.59,19.4,18.57,18.91,19.69,20.38,22.1,24.47,27.9
1438,20.57,20.81,20.59,19.4,18.57,18.91,19.69,20.38,22.1,24.47,27.9,34.24
1439,20.81,20.59,19.4,18.57,18.91,19.69,20.38,22.1,24.47,27.9,34.24,30.82
1440,20.59,19.4,18.57,18.91,19.69,20.38,22.1,24.47,27.9,34.24,30.82,28.76
1441,19.4,18.57,18.91,19.69,20.38,22.1,24.47,27.9,34.24,30.82,28.76,26.1
1442,18.57,18.91,19.69,20.38,22.1,24.47,27.9,34.24,30.82,28.76,26.1,23.71
1443,18.91,19.69,20.38,22.1,24.47,27.9,34.24,30.82,28.76,26.1,23.71,22.99
1444,19.69,20.38,22.1,24.47,27.9,34.24,30.82,28.76,26.1,23.71,22.99,23.39
1445,20.38,22.1,24.47,27.9,34.24,30.82,28.76,26.1,23.71,22.99,23.39,21.19
1446,22.1,24.47,27.9,34.24,30.82,28.76,26.1,23.71,22.99,23.39,21.19,23.45
1447,24.47,27.9,34.24,30.82,28.76,26.1,23.71,22.99,23.39,21.19,23.45,29.02
1448,27.9,34.24,30.82,28.76,26.1,23.71,22.99,23.39,21.19,23.45,29.02,24.22
1449,34.24,30.82,28.76,26.1,23.71,22.99,23.39,21.19,23.45,29.02,24.22,24.02
1450,30.82,28.76,26.1,23.71,22.99,23.39,21.19,23.45,29.02,24.22,24.02,23.88
1451,28.76,26.1,23.71,22.99,23.39,21.19,23.45,29.02,24.22,24.02,23.88,22.53
1452,26.1,23.71,22.99,23.39,21.19,23.45,29.02,24.22,24.02,23.88,22.53,21.65
1453,23.71,22.99,23.39,21.19,23.45,29.02,24.22,24.02,23.88,22.53,21.65,23.25
1454,22.99,23.39,21.19,23.45,29.02,24.22,24.02,23.88,22.53,21.65,23.25,22.11
1455,23.39,21.19,23.45,29.02,24.22,24.02,23.88,22.53,21.65,23.25,22.11,21.85
1456,21.19,23.45,29.02,24.22,24.02,23.88,22.53,21.65,23.25,22.11,21.85,19.98
1457,23.45,29.02,24.22,24.02,23.88,22.53,21.65,23.25,22.11,21.85,19.98,21.61
1458,29.02,24.22,24.02,23.88,22.53,21.65,23.25,22.11,21.85,19.98,21.61,17.51
1459,24.22,24.02,23.88,22.53,21.65,23.25,22.11,21.85,19.98,21.61,17.51,20.91
1460,24.02,23.88,22.53,21.65,23.25,22.11,21.85,19.98,21.61,17.51,20.91,21.62
1461,23.88,22.53,21.65,23.25,22.11,21.85,19.98,21.61,17.51,20.91,21.62,21.69
1462,22.53,21.65,23.25,22.11,21.85,19.98,21.61,17.51,20.91,21.62,21.69,21.87
1463,21.65,23.25,22.11,21.85,19.98,21.61,17.51,20.91,21.62,21.69,21.87,21.2
1464,23.25,22.11,21.85,19.98,21.61,17.51,20.91,21.62,21.69,21.87,21.2,21.61
1465,22.11,21.85,19.98,21.61,17.51,20.91,21.62,21.69,21.87,21.2,21.61,23.04
1466,21.85,19.98,21.61,17.51,20.91,21.62,21.69,21.87,21.2,21.61,23.04,22.34
1467,19.98,21.61,17.51,20.91,21.62,21.69,21.87,21.2,21.61,23.04,22.34,22.71
1468,21.61,17.51,20.91,21.62,21.69,21.87,21.2,21.61,23.04,22.34,22.71,22.79
1469,17.51,20.91,21.62,21.69,21.87,21.2,21.61,23.04,22.34,22.71,22.79,23.17
1470,20.91,21.62,21.69,21.87,21.2,21.61,23.04,22.34,22.71,22.79,23.17,25.0
1471,21.62,21.69,21.87,21.2,21.61,23.04,22.34,22.71,22.79,23.17,25.0,29.32
1472,21.69,21.87,21.2,21.61,23.04,22.34,22.71,22.79,23.17,25.0,29.32,30.76
1473,21.87,21.2,21.61,23.04,22.34,22.71,22.79,23.17,25.0,29.32,30.76,31.05
1474,21.2,21.61,23.04,22.34,22.71,22.79,23.17,25.0,29.32,30.76,31.05,30.91
1475,21.61,23.04,22.34,22.71,22.79,23.17,25.0,29.32,30.76,31.05,30.91,24.17
1476,23.04,22.34,22.71,22.79,23.17,25.0,29.32,30.76,31.05,30.91,24.17,23.87
1477,22.34,22.71,22.79,23.17,25.0,29.32,30.76,31.05,30.91,24.17,23.87,21.62
1478,22.71,22.79,23.17,25.0,29.32,30.76,31.05,30.91,24.17,23.87,21.62,22.08
1479,22.79,23.17,25.0,29.32,30.76,31.05,30.91,24.17,23.87,21.62,22.08,22.52
1480,23.17,25.0,29.32,30.76,31.05,30.91,24.17,23.87,21.62,22.08,22.52,23.27
1481,25.0,29.32,30.76,31.05,30.91,24.17,23.87,21.62,22.08,22.52,23.27,27.51
1482,29.32,30.76,31.05,30.91,24.17,23.87,21.62,22.08,22.52,23.27,27.51,34.86
1483,30.76,31.05,30.91,24.17,23.87,21.62,22.08,22.52,23.27,27.51,34.86,70.83
1484,31.05,30.91,24.17,23.87,21.62,22.08,22.52,23.27,27.51,34.86,70.83,66.08
1485,30.91,24.17,23.87,21.62,22.08,22.52,23.27,27.51,34.86,70.83,66.08,59.7
1486,24.17,23.87,21.62,22.08,22.52,23.27,27.51,34.86,70.83,66.08,59.7,62.14
1487,23.87,21.62,22.08,22.52,23.27,27.51,34.86,70.83,66.08,59.7,62.14,56.0
1488,21.62,22.08,22.52,23.27,27.51,34.86,70.83,66.08,59.7,62.14,56.0,51.53
1489,22.08,22.52,23.27,27.51,34.86,70.83,66.08,59.7,62.14,56.0,51.53,43.4
1490,22.52,23.27,27.51,34.86,70.83,66.08,59.7,62.14,56.0,51.53,43.4,40.17
1491,23.27,27.51,34.86,70.83,66.08,59.7,62.14,56.0,51.53,43.4,40.17,37.43
1492,27.51,34.86,70.83,66.08,59.7,62.14,56.0,51.53,43.4,40.17,37.43,39.01
1493,34.86,70.83,66.08,59.7,62.14,56.0,51.53,43.4,40.17,37.43,39.01,42.51
1494,70.83,66.08,59.7,62.14,56.0,51.53,43.4,40.17,37.43,39.01,42.51,90.48
1495,66.08,59.7,62.14,56.0,51.53,43.4,40.17,37.43,39.01,42.51,90.48,167.16
1496,59.7,62.14,56.0,51.53,43.4,40.17,37.43,39.01,42.51,90.48,167.16,116.96
1497,62.14,56.0,51.53,43.4,40.17,37.43,39.01,42.51,90.48,167.16,116.96,95.91
1498,56.0,51.53,43.4,40.17,37.43,39.01,42.51,90.48,167.16,116.96,95.91,60.0
1499,51.53,43.4,40.17,37.43,39.01,42.51,90.48,167.16,116.96,95.91,60.0,39.96
1500,43.4,40.17,37.43,39.01,42.51,90.48,167.16,116.96,95.91,60.0,39.96,33.65
1501,40.17,37.43,39.01,42.51,90.48,167.16,116.96,95.91,60.0,39.96,33.65,33.48
1502,37.43,39.01,42.51,90.48,167.16,116.96,95.91,60.0,39.96,33.65,33.48,34.4
1503,39.01,42.51,90.48,167.16,116.96,95.91,60.0,39.96,33.65,33.48,34.4,36.11
1504,42.51,90.48,167.16,116.96,95.91,60.0,39.96,33.65,33.48,34.4,36.11,35.38
1505,90.48,167.16,116.96,95.91,60.0,39.96,33.65,33.48,34.4,36.11,35.38,42.43
1506,167.16,116.96,95.91,60.0,39.96,33.65,33.48,34.4,36.11,35.38,42.43,77.37
1507,116.96,95.91,60.0,39.96,33.65,33.48,34.4,36.11,35.38,42.43,77.37,676.5
1508,95.91,60.0,39.96,33.65,33.48,34.4,36.11,35.38,42.43,77.37,676.5,570.44
1509,60.0,39.96,33.65,33.48,34.4,36.11,35.38,42.43,77.37,676.5,570.44,217.33
1510,39.96,33.65,33.48,34.4,36.11,35.38,42.43,77.37,676.5,570.44,217.33,80.04
1511,33.65,33.48,34.4,36.11,35.38,42.43,77.37,676.5,570.44,217.33,80.04,50.0
1512,33.48,34.4,36.11,35.38,42.43,77.37,676.5,570.44,217.33,80.04,50.0,43.98
