,Hr0,Hr1,Hr2,Hr3,Hr4,Hr5,Hr6,Hr7,Hr8,Hr9,Hr10,Hr11
62,23.98,24.6,27.11,41.09,44.39,34.42,33.42,29.81,27.0,23.52,22.1,22.11
63,24.6,27.11,41.09,44.39,34.42,33.42,29.81,27.0,23.52,22.1,22.11,21.21
64,27.11,41.09,44.39,34.42,33.42,29.81,27.0,23.52,22.1,22.11,21.21,21.95
65,41.09,44.39,34.42,33.42,29.81,27.0,23.52,22.1,22.11,21.21,21.95,23.0
66,44.39,34.42,33.42,29.81,27.0,23.52,22.1,22.11,21.21,21.95,23.0,28.19
67,34.42,33.42,29.81,27.0,23.52,22.1,22.11,21.21,21.95,23.0,28.19,55.0
68,33.42,29.81,27.0,23.52,22.1,22.11,21.21,21.95,23.0,28.19,55.0,45.95
69,29.81,27.0,23.52,22.1,22.11,21.21,21.95,23.0,28.19,55.0,45.95,35.72
70,27.0,23.52,22.1,22.11,21.21,21.95,23.0,28.19,55.0,45.95,35.72,31.38
71,23.52,22.1,22.11,21.21,21.95,23.0,28.19,55.0,45.95,35.72,31.38,28.49
72,22.1,22.11,21.21,21.95,23.0,28.19,55.0,45.95,35.72,31.38,28.49,26.0
73,22.11,21.21,21.95,23.0,28.19,55.0,45.95,35.72,31.38,28.49,26.0,23.57
74,21.21,21.95,23.0,28.19,55.0,45.95,35.72,31.38,28.49,26.0,23.57,22.95
75,21.95,23.0,28.19,55.0,45.95,35.72,31.38,28.49,26.0,23.57,22.95,21.62
76,23.0,28.19,55.0,45.95,35.72,31.38,28.49,26.0,23.57,22.95,21.62,21.0
77,28.19,55.0,45.95,35.72,31.38,28.49,26.0,23.57,22.95,21.62,21.0,22.52
78,55.0,45.95,35.72,31.38,28.49,26.0,23.57,22.95,21.62,21.0,22.52,34.39
79,45.95,35.72,31.38,28.49,26.0,23.57,22.95,21.62,21.0,22.52,34.39,31.87
80,35.72,31.38,28.49,26.0,23.57,22.95,21.62,21.0,22.52,34.39,31.87,26.13
81,31.38,28.49,26.0,23.57,22.95,21.62,21.0,22.52,34.39,31.87,26.13,26.43
82,28.49,26.0,23.57,22.95,21.62,21.0,22.52,34.39,31.87,26.13,26.43,27.05
83,26.0,23.57,22.95,21.62,21.0,22.52,34.39,31.87,26.13,26.43,27.05,24.09
84,23.57,22.95,21.62,21.0,22.52,34.39,31.87,26.13,26.43,27.05,24.09,22.55
85,22.95,21.62,21.0,22.52,34.39,31.87,26.13,26.43,27.05,24.09,22.55,21.2
86,21.62,21.0,22.52,34.39,31.87,26.13,26.43,27.05,24.09,22.55,21.2,20.01
87,21.0,22.52,34.39,31.87,26.13,26.43,27.05,24.09,22.55,21.2,20.01,19.84
